,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,ranking
499,Atlanta_01/24/98,Atlanta,1997.0,1/24/98,Portland,77-92,Regular Season,-7.0,0.0,-15.0,0.0,-22.0,Atlanta,Portland,1.0,1.0,
500,Atlanta_01/25/00,Atlanta,1999.0,1/25/00,Chicago,96-89,Regular Season,-8.5,0.0,7.0,1.0,-1.5,Atlanta,Chicago,0.0,1.0,
501,Atlanta_01/25/02,Detroit,2001.0,1/25/02,@ Atlanta,107-90,Regular Season,-6.0,1.0,17.0,1.0,11.0,Atlanta,Detroit,0.0,1.0,
502,Atlanta_01/25/06,Cleveland,2005.0,1/25/06,@ Atlanta,        106-97,Regular Season,-5.0,1.0,9.0,1.0,4.0,Atlanta,Cleveland,0.0,2.0,11.0
505,Atlanta_01/25/09,Atlanta,2008.0,1/25/09,Phoenix,        99-104,Regular Season,-4.0,0.0,-5.0,0.0,-9.0,Atlanta,Phoenix,1.0,2.0,13.0
513,Atlanta_01/25/13,Atlanta,2012.0,1/25/13,Boston,        123-111,Regular Season,-5.5,1.0,12.0,1.0,6.5,Atlanta,Boston,0.0,4.0,18.0
521,Atlanta_01/25/93,Atlanta,1992.0,1/25/93,Sacramento,117-106,Regular Season,-5.5,1.0,11.0,1.0,5.5,Atlanta,Sacramento,2.0,0.0,
522,Atlanta_01/25/97,Atlanta,1996.0,1/25/97,Boston,95-90,Regular Season,-12.0,0.0,5.0,1.0,-7.0,Atlanta,Boston,5.0,0.0,
523,Atlanta_01/26/01,Atlanta,2000.0,1/26/01,Washington,99-106,Regular Season,-4.0,0.0,-7.0,0.0,-11.0,Atlanta,Washington,6.0,0.0,
524,Atlanta_01/26/94,Atlanta,1993.0,1/26/94,Phoenix,116-107,Regular Season,-9.0,0.0,9.0,1.0,0.0,Atlanta,Phoenix,0.0,2.0,
525,Atlanta_01/26/95,Atlanta,1994.0,1/26/95,Cleveland,68-77,Regular Season,-2.0,0.0,-9.0,0.0,-11.0,Atlanta,Cleveland,1.0,0.0,
526,Atlanta_01/26/96,Orlando,1995.0,1/26/96,@ Atlanta,84-96,Regular Season,-2.0,0.0,-12.0,0.0,-14.0,Atlanta,Orlando,3.0,0.0,
527,Atlanta_01/26/98,Atlanta,1997.0,1/26/98,Phoenix,91-96,Regular Season,-5.0,0.0,-5.0,0.0,-10.0,Atlanta,Phoenix,1.0,2.0,
528,Atlanta_01/27/04,Atlanta,2003.0,1/27/04,Phoenix,85-89,Regular Season,-3.0,0.0,-4.0,0.0,-7.0,Atlanta,Phoenix,1.0,0.0,26.0
532,Atlanta_01/27/06,Phoenix,2005.0,1/27/06,@ Atlanta,        110-106,Regular Season,-6.5,0.0,4.0,1.0,-2.5,Atlanta,Phoenix,1.0,0.0,4.0
535,Atlanta_01/27/07,Atlanta,2006.0,1/27/07,Philadelphia,        89-104,Regular Season,-4.5,0.0,-15.0,0.0,-19.5,Atlanta,Philadelphia,0.0,0.0,28.0
543,Atlanta_01/28/00,New York,1999.0,1/28/00,@ Atlanta,96-98,Regular Season,-2.5,0.0,-2.0,0.0,-4.5,Atlanta,New York,1.0,0.0,
544,Atlanta_01/28/05,Miami,2004.0,1/28/05,@ Atlanta,        106-96,Regular Season,-9.5,1.0,10.0,1.0,0.5,Atlanta,Miami,0.0,0.0,4.0
547,Atlanta_01/28/11,Atlanta,2010.0,1/28/11,New York,        111-102,Regular Season,-7.0,1.0,9.0,1.0,2.0,Atlanta,New York,0.0,0.0,11.0
555,Atlanta_01/28/92,Atlanta,1991.0,1/28/92,Philadelphia,110-109,Regular Season,-3.5,0.0,1.0,1.0,-2.5,Atlanta,Philadelphia,0.0,0.0,
556,Atlanta_01/28/95,New Orleans,1994.0,1/28/95,@ Atlanta,102-93,Regular Season,0.0,1.0,9.0,1.0,9.0,Atlanta,New Orleans,0.0,3.0,
557,Atlanta_01/29/01,Phoenix,2000.0,1/29/01,@ Atlanta,95-82,Regular Season,-4.0,1.0,13.0,1.0,9.0,Atlanta,Phoenix,0.0,0.0,
558,Atlanta_01/29/02,L.A. Lakers,2001.0,1/29/02,@ Atlanta,127-93,Regular Season,-10.0,1.0,34.0,1.0,24.0,Atlanta,L.A. Lakers,0.0,0.0,
559,Atlanta_01/29/04,Atlanta,2003.0,1/29/04,Portland,85-93,Regular Season,0.0,0.0,-8.0,0.0,-8.0,Atlanta,Portland,1.0,0.0,26.0
563,Atlanta_01/29/07,Orlando,2006.0,1/29/07,@ Atlanta,        83-93,Regular Season,-4.0,0.0,-10.0,0.0,-14.0,Atlanta,Orlando,0.0,0.0,15.0
566,Atlanta_01/29/10,Atlanta,2009.0,1/29/10,Boston,        100-91,Regular Season,-4.0,1.0,9.0,1.0,5.0,Atlanta,Boston,0.0,1.0,4.0
574,Atlanta_01/29/98,Atlanta,1997.0,1/29/98,Philadelphia,109-99,Regular Season,-8.5,1.0,10.0,1.0,1.5,Atlanta,Philadelphia,0.0,4.0,
575,Atlanta_01/30/06,Atlanta,2005.0,1/30/06,New York,        120-101,Regular Season,-1.0,1.0,19.0,1.0,18.0,Atlanta,New York,0.0,4.0,29.0
579,Atlanta_01/30/09,Atlanta,2008.0,1/30/09,Brooklyn,        105-88,Regular Season,-7.0,1.0,17.0,1.0,10.0,Atlanta,Brooklyn,0.0,0.0,15.0
587,Atlanta_01/30/13,Atlanta,2012.0,1/30/13,Toronto,        93-92,Regular Season,-7.0,0.0,1.0,1.0,-6.0,Atlanta,Toronto,0.0,0.0,20.0
595,Atlanta_01/30/93,Atlanta,1992.0,1/30/93,Philadelphia,149-123,Regular Season,-5.5,1.0,26.0,1.0,20.5,Atlanta,Philadelphia,1.0,7.0,
596,Atlanta_01/31/01,Atlanta,2000.0,1/31/01,Toronto,102-97,Regular Season,-1.0,1.0,5.0,1.0,4.0,Atlanta,Toronto,0.0,0.0,
597,Atlanta_01/31/03,Atlanta,2002.0,1/31/03,Cleveland,96-91,Regular Season,-6.5,0.0,5.0,1.0,-1.5,Atlanta,Cleveland,1.0,0.0,21.0
601,Atlanta_01/31/04,Milwaukee,2003.0,1/31/04,@ Atlanta,83-93,Regular Season,-2.5,0.0,-10.0,0.0,-12.5,Atlanta,Milwaukee,0.0,2.0,14.0
604,Atlanta_01/31/05,Orlando,2004.0,1/31/05,@ Atlanta,        79-80,Regular Season,-5.0,0.0,-1.0,0.0,-6.0,Atlanta,Orlando,0.0,3.0,13.0
607,Atlanta_01/31/07,Atlanta,2006.0,1/31/07,Golden State,        115-94,Regular Season,-2.0,1.0,21.0,1.0,19.0,Atlanta,Golden State,4.0,0.0,29.0
615,Atlanta_01/31/96,Atlanta,1995.0,1/31/96,Phoenix,84-120,Regular Season,-4.5,0.0,-36.0,0.0,-40.5,Atlanta,Phoenix,1.0,0.0,
616,Atlanta_02/01/14,Atlanta,2013.0,2/1/14,Minnesota,        120-113,Regular Season,-3.0,1.0,7.0,1.0,4.0,Atlanta,Minnesota,1.0,0.0,15.0
624,Atlanta_02/01/92,Detroit,1991.0,2/1/92,@ Atlanta,89-80,Regular Season,-3.0,1.0,9.0,1.0,6.0,Atlanta,Detroit,3.0,2.0,
625,Atlanta_02/01/95,Atlanta,1994.0,2/1/95,Golden State,111-99,Regular Season,-7.5,1.0,12.0,1.0,4.5,Atlanta,Golden State,0.0,0.0,
626,Atlanta_02/02/01,Miami,2000.0,2/2/01,@ Atlanta,91-80,Regular Season,-2.5,1.0,11.0,1.0,8.5,Atlanta,Miami,2.0,1.0,
627,Atlanta_02/02/02,L.A. Clippers,2001.0,2/2/02,@ Atlanta,94-101,Regular Season,-4.0,0.0,-7.0,0.0,-11.0,Atlanta,L.A. Clippers,0.0,0.0,
628,Atlanta_02/02/03,Atlanta,2002.0,2/2/03,Orlando,97-89,Regular Season,-2.5,1.0,8.0,1.0,5.5,Atlanta,Orlando,1.0,3.0,21.0
632,Atlanta_02/02/04,Atlanta,2003.0,2/2/04,L.A. Clippers,95-101,Regular Season,-3.5,0.0,-6.0,0.0,-9.5,Atlanta,L.A. Clippers,2.0,0.0,26.0
636,Atlanta_02/02/07,Toronto,2006.0,2/2/07,@ Atlanta,        103-91,Regular Season,-1.0,1.0,12.0,1.0,11.0,Atlanta,Toronto,2.0,0.0,17.0
639,Atlanta_02/02/08,Atlanta,2007.0,2/2/08,Brooklyn,        104-92,Regular Season,-7.0,1.0,12.0,1.0,5.0,Atlanta,Brooklyn,0.0,0.0,19.0
647,Atlanta_02/02/11,Atlanta,2010.0,2/2/11,Toronto,        100-87,Regular Season,-10.0,1.0,13.0,1.0,3.0,Atlanta,Toronto,0.0,0.0,13.0
655,Atlanta_02/02/12,Atlanta,2011.0,2/2/12,Memphis,        77-96,Regular Season,-4.5,0.0,-19.0,0.0,-23.5,Atlanta,Memphis,1.0,1.0,9.0
663,Atlanta_02/02/13,Atlanta,2012.0,2/2/13,Chicago,        76-93,Regular Season,-7.0,0.0,-17.0,0.0,-24.0,Atlanta,Chicago,0.0,2.0,20.0
671,Atlanta_02/02/93,Oklahoma City,1992.0,2/2/93,@ Atlanta,109-118,Regular Season,-2.0,0.0,-9.0,0.0,-11.0,Atlanta,Oklahoma City,0.0,0.0,
672,Atlanta_02/02/94,Atlanta,1993.0,2/2/94,Orlando,118-99,Regular Season,-5.0,1.0,19.0,1.0,14.0,Atlanta,Orlando,1.0,1.0,
673,Atlanta_02/03/06,Atlanta,2005.0,2/3/06,Orlando,        96-94,Regular Season,-1.0,1.0,2.0,1.0,1.0,Atlanta,Orlando,0.0,0.0,29.0
677,Atlanta_02/03/10,Atlanta,2009.0,2/3/10,L.A. Clippers,        103-97,Regular Season,-9.5,0.0,6.0,1.0,-3.5,Atlanta,L.A. Clippers,1.0,2.0,4.0
685,Atlanta_02/03/92,Atlanta,1991.0,2/3/92,Oklahoma City,110-112,Regular Season,-4.0,0.0,-2.0,0.0,-6.0,Atlanta,Oklahoma City,2.0,3.0,
686,Atlanta_02/03/95,Oklahoma City,1994.0,2/3/95,@ Atlanta,121-98,Regular Season,-5.0,1.0,23.0,1.0,18.0,Atlanta,Oklahoma City,4.0,0.0,
687,Atlanta_02/04/00,Portland,1999.0,2/4/00,@ Atlanta,97-90,Regular Season,-5.0,1.0,7.0,1.0,2.0,Atlanta,Portland,4.0,0.0,
688,Atlanta_02/04/04,Minnesota,2003.0,2/4/04,@ Atlanta,89-97,Regular Season,-4.5,0.0,-8.0,0.0,-12.5,Atlanta,Minnesota,1.0,0.0,1.0
691,Atlanta_02/04/08,Atlanta,2007.0,2/4/08,Philadelphia,        96-91,Regular Season,-5.0,0.0,5.0,1.0,0.0,Atlanta,Philadelphia,1.0,2.0,18.0
699,Atlanta_02/04/11,Atlanta,2010.0,2/4/11,L.A. Clippers,        101-100,Regular Season,-7.5,0.0,1.0,1.0,-6.5,Atlanta,L.A. Clippers,3.0,0.0,13.0
707,Atlanta_02/04/12,Atlanta,2011.0,2/4/12,Philadelphia,        87-98,Regular Season,-3.0,0.0,-11.0,0.0,-14.0,Atlanta,Philadelphia,4.0,1.0,9.0
715,Atlanta_02/04/14,Indiana,2013.0,2/4/14,@ Atlanta,        89-85,Regular Season,-3.0,1.0,4.0,1.0,1.0,Atlanta,Indiana,1.0,0.0,2.0
718,Atlanta_02/04/94,Atlanta,1993.0,2/4/94,New York,114-102,Regular Season,-3.5,1.0,12.0,1.0,8.5,Atlanta,New York,0.0,4.0,
719,Atlanta_02/04/96,Atlanta,1995.0,2/4/96,New Orleans,106-104,Regular Season,-5.0,0.0,2.0,1.0,-3.0,Atlanta,New Orleans,0.0,0.0,
720,Atlanta_02/05/01,Dallas,2000.0,2/5/01,@ Atlanta,91-81,Regular Season,-4.5,1.0,10.0,1.0,5.5,Atlanta,Dallas,1.0,3.0,
721,Atlanta_02/05/05,Indiana,2004.0,2/5/05,@ Atlanta,        84-79,Regular Season,-4.0,1.0,5.0,1.0,1.0,Atlanta,Indiana,0.0,1.0,15.0
724,Atlanta_02/05/07,L.A. Lakers,2006.0,2/5/07,@ Atlanta,        90-83,Regular Season,-5.0,1.0,7.0,1.0,2.0,Atlanta,L.A. Lakers,0.0,0.0,
726,Atlanta_02/05/10,Atlanta,2009.0,2/5/10,Chicago,        91-81,Regular Season,-8.0,1.0,10.0,1.0,2.0,Atlanta,Chicago,0.0,0.0,4.0
734,Atlanta_02/05/91,Atlanta,1990.0,2/5/91,Cleveland,118-114,Regular Season,-11.0,0.0,4.0,1.0,-7.0,Atlanta,Cleveland,0.0,0.0,
735,Atlanta_02/05/99,Atlanta,1998.0,2/5/99,Cleveland,100-83,Regular Season,-4.5,1.0,17.0,1.0,12.5,Atlanta,Cleveland,1.0,0.0,
736,Atlanta_02/06/08,L.A. Lakers,2007.0,2/6/08,@ Atlanta,        95-98,Regular Season,-3.5,0.0,-3.0,0.0,-6.5,Atlanta,L.A. Lakers,0.0,1.0,
738,Atlanta_02/06/12,Atlanta,2011.0,2/6/12,Phoenix,        90-99,Regular Season,-8.0,0.0,-9.0,0.0,-17.0,Atlanta,Phoenix,3.0,1.0,14.0
746,Atlanta_02/06/13,Memphis,2012.0,2/6/13,@ Atlanta,        92-103,Regular Season,-2.0,0.0,-11.0,0.0,-13.0,Atlanta,Memphis,0.0,0.0,7.0
749,Atlanta_02/06/92,Atlanta,1991.0,2/6/92,Orlando,123-112,Regular Season,-10.5,1.0,11.0,1.0,0.5,Atlanta,Orlando,1.0,0.0,
750,Atlanta_02/06/93,Cleveland,1992.0,2/6/93,@ Atlanta,120-109,Regular Season,-2.5,1.0,11.0,1.0,8.5,Atlanta,Cleveland,0.0,2.0,
751,Atlanta_02/06/99,Atlanta,1998.0,2/6/99,Brooklyn,111-106,Regular Season,-6.0,0.0,5.0,1.0,-1.0,Atlanta,Brooklyn,1.0,0.0,
752,Atlanta_02/07/04,Houston,2003.0,2/7/04,@ Atlanta,86-77,Regular Season,-3.5,1.0,9.0,1.0,5.5,Atlanta,Houston,2.0,0.0,8.0
755,Atlanta_02/07/05,L.A. Lakers,2004.0,2/7/05,@ Atlanta,        108-114,Regular Season,-3.0,0.0,-6.0,0.0,-9.0,Atlanta,L.A. Lakers,4.0,0.0,
757,Atlanta_02/07/06,Detroit,2005.0,2/7/06,@ Atlanta,        98-99,Regular Season,-10.0,0.0,-1.0,0.0,-11.0,Atlanta,Detroit,0.0,1.0,1.0
760,Atlanta_02/07/07,Brooklyn,2006.0,2/7/07,@ Atlanta,        87-85,Regular Season,-1.0,1.0,2.0,1.0,1.0,Atlanta,Brooklyn,1.0,2.0,16.0
763,Atlanta_02/07/09,Atlanta,2008.0,2/7/09,L.A. Clippers,        97-121,Regular Season,-7.0,0.0,-24.0,0.0,-31.0,Atlanta,L.A. Clippers,0.0,0.0,11.0
771,Atlanta_02/07/91,Atlanta,1990.0,2/7/91,New Orleans,127-114,Regular Season,-14.0,0.0,13.0,1.0,-1.0,Atlanta,New Orleans,0.0,1.0,
772,Atlanta_02/07/94,Atlanta,1993.0,2/7/94,Detroit,141-97,Regular Season,-13.0,1.0,44.0,1.0,31.0,Atlanta,Detroit,1.0,0.0,
773,Atlanta_02/08/08,Atlanta,2007.0,2/8/08,Cleveland,        95-100,Regular Season,-3.5,0.0,-5.0,0.0,-8.5,Atlanta,Cleveland,0.0,2.0,18.0
781,Atlanta_02/08/11,Atlanta,2010.0,2/8/11,Philadelphia,        83-117,Regular Season,-3.5,0.0,-34.0,0.0,-37.5,Atlanta,Philadelphia,0.0,0.0,14.0
789,Atlanta_02/08/12,Atlanta,2011.0,2/8/12,Indiana,        97-87,Regular Season,-3.5,1.0,10.0,1.0,6.5,Atlanta,Indiana,0.0,0.0,14.0
797,Atlanta_02/08/13,Atlanta,2012.0,2/8/13,New Orleans,        100-111,Regular Season,-5.0,0.0,-11.0,0.0,-16.0,Atlanta,New Orleans,1.0,0.0,17.0
805,Atlanta_02/08/14,Atlanta,2013.0,2/8/14,Memphis,        76-79,Regular Season,-1.5,0.0,-3.0,0.0,-4.5,Atlanta,Memphis,0.0,3.0,15.0
813,Atlanta_02/08/95,Atlanta,1994.0,2/8/95,Brooklyn,111-88,Regular Season,-8.0,1.0,23.0,1.0,15.0,Atlanta,Brooklyn,0.0,0.0,
814,Atlanta_02/08/96,Atlanta,1995.0,2/8/96,Washington,98-92,Regular Season,-5.5,1.0,6.0,1.0,0.5,Atlanta,Washington,1.0,0.0,
815,Atlanta_02/09/00,Atlanta,1999.0,2/9/00,Houston,116-100,Regular Season,-4.5,1.0,16.0,1.0,11.5,Atlanta,Houston,2.0,2.0,
816,Atlanta_02/09/04,Dallas,2003.0,2/9/04,@ Atlanta,96-102,Regular Season,-6.0,0.0,-6.0,0.0,-12.0,Atlanta,Dallas,0.0,3.0,5.0
819,Atlanta_02/10/09,Atlanta,2008.0,2/10/09,Washington,        111-90,Regular Season,-9.0,1.0,21.0,1.0,12.0,Atlanta,Washington,0.0,0.0,15.0
827,Atlanta_02/10/10,Atlanta,2009.0,2/10/10,Miami,        76-94,Regular Season,-6.5,0.0,-18.0,0.0,-24.5,Atlanta,Miami,1.0,0.0,6.0
835,Atlanta_02/10/94,Atlanta,1993.0,2/10/94,Miami,114-98,Regular Season,-7.5,1.0,16.0,1.0,8.5,Atlanta,Miami,1.0,4.0,
836,Atlanta_02/11/03,Atlanta,2002.0,2/11/03,Golden State,113-116,Regular Season,-2.5,0.0,-3.0,0.0,-5.5,Atlanta,Golden State,3.0,0.0,23.0
840,Atlanta_02/11/92,Atlanta,1991.0,2/11/92,New Orleans,108-113,Regular Season,-8.0,0.0,-5.0,0.0,-13.0,Atlanta,New Orleans,0.0,2.0,
841,Atlanta_02/11/99,Atlanta,1998.0,2/11/99,New Orleans,100-88,Regular Season,-14.0,0.0,12.0,1.0,-2.0,Atlanta,New Orleans,0.0,0.0,
842,Atlanta_02/12/02,Brooklyn,2001.0,2/12/02,@ Atlanta,103-105,Regular Season,-7.0,0.0,-2.0,0.0,-9.0,Atlanta,Brooklyn,0.0,1.0,
843,Atlanta_02/12/08,Detroit,2007.0,2/12/08,@ Atlanta,        94-90,Regular Season,-5.0,0.0,4.0,1.0,-1.0,Atlanta,Detroit,1.0,0.0,1.0
846,Atlanta_02/12/11,Atlanta,2010.0,2/12/11,Charlotte,        86-88,Regular Season,-7.5,0.0,-2.0,0.0,-9.5,Atlanta,Charlotte,0.0,2.0,14.0
854,Atlanta_02/12/12,Miami,2011.0,2/12/12,@ Atlanta,        107-87,Regular Season,-4.0,1.0,20.0,1.0,16.0,Atlanta,Miami,1.0,0.0,1.0
857,Atlanta_02/12/97,Atlanta,1996.0,2/12/97,Toronto,106-84,Regular Season,-12.0,1.0,22.0,1.0,10.0,Atlanta,Toronto,0.0,2.0,
858,Atlanta_02/14/01,Milwaukee,2000.0,2/14/01,@ Atlanta,102-98,Regular Season,-5.5,0.0,4.0,1.0,-1.5,Atlanta,Milwaukee,0.0,0.0,
859,Atlanta_02/14/97,Chicago,1996.0,2/14/97,@ Atlanta,89-88,Regular Season,-6.5,0.0,1.0,1.0,-5.5,Atlanta,Chicago,3.0,0.0,
860,Atlanta_02/14/98,Atlanta,1997.0,2/14/98,Indiana,92-96,Regular Season,-2.0,0.0,-4.0,0.0,-6.0,Atlanta,Indiana,0.0,0.0,
861,Atlanta_02/15/00,Atlanta,1999.0,2/15/00,Brooklyn,103-86,Regular Season,-5.0,1.0,17.0,1.0,12.0,Atlanta,Brooklyn,0.0,1.0,
862,Atlanta_02/15/05,Denver,2004.0,2/15/05,@ Atlanta,        100-96,Regular Season,-5.5,0.0,4.0,1.0,-1.5,Atlanta,Denver,0.0,2.0,15.0
865,Atlanta_02/16/03,Indiana,2002.0,2/16/03,@ Atlanta,86-99,Regular Season,-3.5,0.0,-13.0,0.0,-16.5,Atlanta,Indiana,2.0,1.0,1.0
868,Atlanta_02/16/91,Atlanta,1990.0,2/16/91,Oklahoma City,122-113,Regular Season,-8.5,1.0,9.0,1.0,0.5,Atlanta,Oklahoma City,0.0,1.0,
869,Atlanta_02/16/98,Orlando,1997.0,2/16/98,@ Atlanta,85-81,Regular Season,,,4.0,1.0,,Atlanta,Orlando,0.0,1.0,
870,Atlanta_02/18/98,Atlanta,1997.0,2/18/98,Brooklyn,114-104,Regular Season,-3.5,1.0,10.0,1.0,6.5,Atlanta,Brooklyn,1.0,0.0,
871,Atlanta_02/19/14,Atlanta,2013.0,2/19/14,Washington,        97-114,Regular Season,-1.0,0.0,-17.0,0.0,-18.0,Atlanta,Washington,0.0,0.0,17.0
879,Atlanta_02/19/92,Atlanta,1991.0,2/19/92,Washington,102-103,Regular Season,-7.0,0.0,-1.0,0.0,-8.0,Atlanta,Washington,1.0,0.0,
880,Atlanta_02/19/97,Atlanta,1996.0,2/19/97,Indiana,100-87,Regular Season,-7.0,1.0,13.0,1.0,6.0,Atlanta,Indiana,0.0,3.0,
881,Atlanta_02/19/99,Atlanta,1998.0,2/19/99,Orlando,94-99,Regular Season,-4.5,0.0,-5.0,0.0,-9.5,Atlanta,Orlando,1.0,1.0,
882,Atlanta_02/20/13,Miami,2012.0,2/20/13,@ Atlanta,        103-90,Regular Season,-5.5,1.0,13.0,1.0,7.5,Atlanta,Miami,0.0,0.0,2.0
885,Atlanta_02/20/98,Atlanta,1997.0,2/20/98,Memphis,115-92,Regular Season,-13.0,1.0,23.0,1.0,10.0,Atlanta,Memphis,0.0,1.0,
886,Atlanta_02/21/07,San Antonio,2006.0,2/21/07,@ Atlanta,        103-96,Regular Season,-8.0,0.0,7.0,1.0,-1.0,Atlanta,San Antonio,2.0,0.0,6.0
889,Atlanta_02/21/92,Chicago,1991.0,2/21/92,@ Atlanta,103-88,Regular Season,-8.0,1.0,15.0,1.0,7.0,Atlanta,Chicago,1.0,0.0,
890,Atlanta_02/21/95,Atlanta,1994.0,2/21/95,Chicago,88-105,Regular Season,-2.5,0.0,-17.0,0.0,-19.5,Atlanta,Chicago,0.0,3.0,
891,Atlanta_02/21/97,Atlanta,1996.0,2/21/97,Houston,76-74,Regular Season,-7.5,0.0,2.0,1.0,-5.5,Atlanta,Houston,0.0,0.0,
892,Atlanta_02/22/06,Atlanta,2005.0,2/22/06,Oklahoma City,        109-114,Regular Season,-4.5,0.0,-5.0,0.0,-9.5,Atlanta,Oklahoma City,0.0,8.0,25.0
896,Atlanta_02/22/13,Atlanta,2012.0,2/22/13,Sacramento,        122-108,Regular Season,-8.0,1.0,14.0,1.0,6.0,Atlanta,Sacramento,0.0,1.0,20.0
904,Atlanta_02/22/14,Atlanta,2013.0,2/22/14,New York,        107-98,Regular Season,-1.5,1.0,9.0,1.0,7.5,Atlanta,New York,1.0,0.0,17.0
912,Atlanta_02/22/91,Atlanta,1990.0,2/22/91,L.A. Lakers,111-102,Regular Season,-1.0,1.0,9.0,1.0,8.0,Atlanta,L.A. Lakers,2.0,8.0,
913,Atlanta_02/22/92,Atlanta,1991.0,2/22/92,Brooklyn,119-107,Regular Season,-5.0,1.0,12.0,1.0,7.0,Atlanta,Brooklyn,3.0,0.0,
914,Atlanta_02/22/96,Chicago,1995.0,2/22/96,@ Atlanta,96-91,Regular Season,-7.0,0.0,5.0,1.0,-2.0,Atlanta,Chicago,4.0,4.0,
915,Atlanta_02/22/97,Atlanta,1996.0,2/22/97,New Orleans,92-93,Regular Season,-6.5,0.0,-1.0,0.0,-7.5,Atlanta,New Orleans,0.0,3.0,
916,Atlanta_02/22/99,Atlanta,1998.0,2/22/99,Chicago,68-77,Regular Season,-10.5,0.0,-9.0,0.0,-19.5,Atlanta,Chicago,0.0,6.0,
917,Atlanta_02/23/07,Houston,2006.0,2/23/07,@ Atlanta,        99-105,Regular Season,-4.5,0.0,-6.0,0.0,-10.5,Atlanta,Houston,0.0,0.0,4.0
920,Atlanta_02/23/12,Orlando,2011.0,2/23/12,@ Atlanta,        78-83,Regular Season,-4.0,0.0,-5.0,0.0,-9.0,Atlanta,Orlando,0.0,0.0,9.0
923,Atlanta_02/23/91,Atlanta,1990.0,2/23/91,Dallas,122-107,Regular Season,-6.5,1.0,15.0,1.0,8.5,Atlanta,Dallas,2.0,5.0,
924,Atlanta_02/23/93,Atlanta,1992.0,2/23/93,Washington,109-94,Regular Season,-7.0,1.0,15.0,1.0,8.0,Atlanta,Washington,3.0,0.0,
925,Atlanta_02/23/94,Atlanta,1993.0,2/23/94,Oklahoma City,99-92,Regular Season,-2.5,1.0,7.0,1.0,4.5,Atlanta,Oklahoma City,4.0,1.0,
926,Atlanta_02/23/95,Atlanta,1994.0,2/23/95,Dallas,110-92,Regular Season,-7.5,1.0,18.0,1.0,10.5,Atlanta,Dallas,5.0,0.0,
927,Atlanta_02/24/04,Atlanta,2003.0,2/24/04,Philadelphia,86-75,Regular Season,-2.5,1.0,11.0,1.0,8.5,Atlanta,Philadelphia,1.0,0.0,22.0
931,Atlanta_02/24/10,Atlanta,2009.0,2/24/10,Minnesota,        98-92,Regular Season,-12.0,0.0,6.0,1.0,-6.0,Atlanta,Minnesota,3.0,0.0,7.0
939,Atlanta_02/24/92,Atlanta,1991.0,2/24/92,Denver,117-95,Regular Season,-7.0,1.0,22.0,1.0,15.0,Atlanta,Denver,4.0,0.0,
940,Atlanta_02/24/97,Atlanta,1996.0,2/24/97,Golden State,106-100,Regular Season,-12.0,0.0,6.0,1.0,-6.0,Atlanta,Golden State,7.0,5.0,
941,Atlanta_02/25/06,Milwaukee,2005.0,2/25/06,@ Atlanta,        99-89,Regular Season,-1.5,1.0,10.0,1.0,8.5,Atlanta,Milwaukee,0.0,0.0,14.0
944,Atlanta_02/25/07,Phoenix,2006.0,2/25/07,@ Atlanta,        115-106,Regular Season,-8.5,1.0,9.0,1.0,0.5,Atlanta,Phoenix,3.0,0.0,2.0
947,Atlanta_02/25/14,Chicago,2013.0,2/25/14,@ Atlanta,        107-103,Regular Season,-2.5,1.0,4.0,1.0,1.5,Atlanta,Chicago,0.0,2.0,13.0
950,Atlanta_02/25/91,Atlanta,1990.0,2/25/91,Sacramento,96-88,Regular Season,-16.5,0.0,8.0,1.0,-8.5,Atlanta,Sacramento,0.0,0.0,
951,Atlanta_02/25/94,Atlanta,1993.0,2/25/94,Milwaukee,111-100,Regular Season,-13.5,0.0,11.0,1.0,-2.5,Atlanta,Milwaukee,1.0,0.0,
952,Atlanta_02/26/10,Atlanta,2009.0,2/26/10,Dallas,        103-111,Regular Season,-3.0,0.0,-8.0,0.0,-11.0,Atlanta,Dallas,0.0,1.0,7.0
960,Atlanta_02/26/93,Atlanta,1992.0,2/26/93,Boston,99-110,Regular Season,-4.0,0.0,-11.0,0.0,-15.0,Atlanta,Boston,0.0,1.0,
961,Atlanta_02/27/02,Oklahoma City,2001.0,2/27/02,@ Atlanta,98-81,Regular Season,-1.5,1.0,17.0,1.0,15.5,Atlanta,Oklahoma City,0.0,2.0,
962,Atlanta_02/27/06,Brooklyn,2005.0,2/27/06,@ Atlanta,        102-104,Regular Season,-2.0,0.0,-2.0,0.0,-4.0,Atlanta,Brooklyn,1.0,0.0,5.0
965,Atlanta_02/27/08,Atlanta,2007.0,2/27/08,Sacramento,        123-117,Regular Season,-5.0,1.0,6.0,1.0,1.0,Atlanta,Sacramento,1.0,2.0,15.0
973,Atlanta_02/27/09,Atlanta,2008.0,2/27/09,Miami,        91-83,Regular Season,-5.5,1.0,8.0,1.0,2.5,Atlanta,Miami,2.0,2.0,14.0
981,Atlanta_02/27/95,Atlanta,1994.0,2/27/95,Sacramento,118-99,Regular Season,-5.5,1.0,19.0,1.0,13.5,Atlanta,Sacramento,0.0,2.0,
982,Atlanta_02/28/01,Toronto,2000.0,2/28/01,@ Atlanta,95-88,Regular Season,-6.0,1.0,7.0,1.0,1.0,Atlanta,Toronto,1.0,0.0,
